2017-09-02 14:09:27,440 - Main - INFO - Backtesting on : 2013-07-19
2017-09-02 14:09:27,444 - Main.money - INFO - 2013-07-22, 1000000, 0, 1000000
2017-09-02 14:09:27,445 - Main - INFO - Backtesting on : 2013-07-22
2017-09-02 14:09:27,448 - Main.money - INFO - 2013-07-23, 1000000, 0, 1000000
2017-09-02 14:09:27,449 - Main - INFO - Backtesting on : 2013-07-23
2017-09-02 14:09:27,452 - Main.money - INFO - 2013-07-24, 1000000, 0, 1000000
2017-09-02 14:09:27,453 - Main - INFO - Backtesting on : 2013-07-24
2017-09-02 14:09:27,455 - Main.money - INFO - 2013-07-25, 1000000, 0, 1000000
2017-09-02 14:09:27,456 - Main - INFO - Backtesting on : 2013-07-25
2017-09-02 14:09:27,459 - Main.money - INFO - 2013-07-26, 1000000, 0, 1000000
2017-09-02 14:09:27,460 - Main - INFO - Backtesting on : 2013-07-26
2017-09-02 14:09:27,463 - Main.money - INFO - 2013-07-29, 1000000, 0, 1000000
2017-09-02 14:09:27,464 - Main - INFO - Backtesting on : 2013-07-29
2017-09-02 14:09:27,467 - Main.money - INFO - 2013-07-30, 1000000, 0, 1000000
2017-09-02 14:09:27,467 - Main - INFO - Backtesting on : 2013-07-30
2017-09-02 14:09:27,469 - Main.money - INFO - 2013-07-31, 1000000, 0, 1000000
2017-09-02 14:09:27,470 - Main - INFO - Backtesting on : 2013-07-31
2017-09-02 14:09:27,473 - Main.money - INFO - 2013-08-01, 1000000, 0, 1000000
2017-09-02 14:09:27,474 - Main - INFO - Backtesting on : 2013-08-01
2017-09-02 14:09:27,478 - Main.money - INFO - 2013-08-02, 1000000, 0, 1000000
2017-09-02 14:09:27,478 - Main - INFO - Backtesting on : 2013-08-02
2017-09-02 14:09:27,481 - Main.money - INFO - 2013-08-05, 1000000, 0, 1000000
2017-09-02 14:09:27,481 - Main - INFO - Backtesting on : 2013-08-05
2017-09-02 14:09:27,485 - Main.money - INFO - 2013-08-06, 1000000, 0, 1000000
2017-09-02 14:09:27,485 - Main - INFO - Backtesting on : 2013-08-06
2017-09-02 14:09:27,489 - Main.money - INFO - 2013-08-07, 1000000, 0, 1000000
2017-09-02 14:09:27,489 - Main - INFO - Backtesting on : 2013-08-07
2017-09-02 14:09:27,492 - Main.money - INFO - 2013-08-08, 1000000, 0, 1000000
2017-09-02 14:09:27,492 - Main - INFO - Backtesting on : 2013-08-08
2017-09-02 14:09:27,496 - Main.money - INFO - 2013-08-09, 1000000, 0, 1000000
2017-09-02 14:09:27,496 - Main - INFO - Backtesting on : 2013-08-09
2017-09-02 14:09:27,500 - Main.money - INFO - 2013-08-12, 1000000, 0, 1000000
2017-09-02 14:09:27,501 - Main - INFO - Backtesting on : 2013-08-12
2017-09-02 14:09:27,503 - Main.money - INFO - 2013-08-13, 1000000, 0, 1000000
2017-09-02 14:09:27,504 - Main - INFO - Backtesting on : 2013-08-13
2017-09-02 14:09:27,507 - Main.money - INFO - 2013-08-14, 1000000, 0, 1000000
2017-09-02 14:09:27,508 - Main - INFO - Backtesting on : 2013-08-14
2017-09-02 14:09:27,511 - Main.money - INFO - 2013-08-15, 1000000, 0, 1000000
2017-09-02 14:09:27,511 - Main - INFO - Backtesting on : 2013-08-15
2017-09-02 14:09:27,515 - Main.money - INFO - 2013-08-16, 1000000, 0, 1000000
2017-09-02 14:09:27,515 - Main - INFO - Backtesting on : 2013-08-16
2017-09-02 14:09:27,518 - Main.money - INFO - 2013-08-19, 1000000, 0, 1000000
2017-09-02 14:09:27,518 - Main - INFO - Backtesting on : 2013-08-19
2017-09-02 14:09:27,522 - Main.money - INFO - 2013-08-20, 1000000, 0, 1000000
2017-09-02 14:09:27,522 - Main - INFO - Backtesting on : 2013-08-20
